epoch,index_output_loss,leaky_re_lu_1_loss,loss,val_index_output_loss,val_leaky_re_lu_1_loss,val_loss
0,0.0337870269241081,0.009850359638178183,0.02674387306980895,0.06712198207439171,0.0024229237997029254,0.03598391481771671
1,0.031241269195930083,0.002820907021088866,0.018441541615395594,0.05588744088997951,0.0019141036516110521,0.02985782402812078
2,0.030912401745866958,0.002299879050041234,0.01775607992048764,0.06271698336052256,0.0031688172787617762,0.03452730889576596
3,0.030918191981212335,0.002199775262629881,0.017658871251276756,0.0661472606210433,0.003906566563990396,0.03698019688522538
4,0.030399225479163763,0.00196981278306751,0.017169425501834604,0.059834766822513284,0.0015012973838756025,0.03141868072812331
5,0.029865130849683258,0.0018657390645054417,0.016798304507714548,0.05742361405543247,0.0031831360328307833,0.03189494301082617
6,0.030206929686626298,0.0020061100689908753,0.01710957491409703,0.05798551433942159,0.004956374463078207,0.033949131735277714
7,0.028794746721491224,0.001612363414840761,0.016009736777697493,0.06074429808704672,0.0067465641580804455,0.03711871319479773
0,0.03457896903096156,0.011951146658034302,0.02924063119451062,0.05835209435131375,0.0007118365376080482,0.029887883667348316
1,0.0310696673317735,0.004529456070297733,0.020064289729157053,0.05628402855766762,0.0005149389988894808,0.028656953360787763
2,0.030247599175106166,0.003442780799870387,0.018566580352546592,0.06218797001748041,0.0005195219544821636,0.031613507017403494
0,0.020746821725185542,0.01731223816689117,0.027685648998944986,0.01388016185421132,0.0008723716172662363,0.0078124525490454256
1,0.016524883981335108,0.006668290745112048,0.01493073272129095,0.014997026871268023,0.0006134780345397751,0.00811199147057138
2,0.016019481718595716,0.005283550299036931,0.013293291162502809,0.016731623038547774,0.0005365505198600748,0.008902362090018677
3,0.015542350251296098,0.005128528417139336,0.012899703555569792,0.01444780719394796,0.0010704260641529171,0.008294329644142433
4,0.014812835882953563,0.005133771374065129,0.012540189316583012,0.013132145133987255,0.0006248984628911484,0.007190971020646152
5,0.012473768893101358,0.005098504739223087,0.011335389184718206,0.013987562110924227,0.0005078277154215503,0.007501608765440249
6,0.011635247824878776,0.004953991428319304,0.010771615343838616,0.012202535978121931,0.0009094269638220071,0.007010694958687835
7,0.011409011915156766,0.005008554429363229,0.010713060376877637,0.011594426335181192,0.000665450400159495,0.006462663562803669
8,0.010997891612327806,0.004905685772238443,0.010404631588712137,0.012526608568880387,0.0006458584584160973,0.006909162731183313
9,0.010714115569981792,0.004996219710576743,0.0103532774993344,0.013036378669023692,0.0005321007779644934,0.007050290116260704
0,0.021501072190924987,0.02084422867247081,0.031594764764802774,0.014180075969423042,0.0009385757781252464,0.008028613762227728
1,0.016564587086375277,0.006571178541192478,0.014853472094783897,0.014693053532252991,0.0006955325528462863,0.008042059306488351
2,0.016107078626730616,0.005207620661762646,0.013261159947191747,0.015888691518244773,0.000917838442337141,0.008862184190135347
3,0.015584613442714319,0.0049510970398329475,0.012743403770780525,0.014732600777084725,0.0008231894328055132,0.00818948980889959
4,0.014346074421893897,0.00514623086803275,0.012319268087366345,0.014823347891061402,0.0007504120075794018,0.008162085951425754
5,0.011873190573769121,0.005399217486296855,0.011335812780382362,0.013166422343369198,0.0007088642019411374,0.007292075404435603
6,0.01143290807289785,0.005107967574447819,0.010824421597911903,0.014010504959868263,0.0012517003116459399,0.008256952759938872
7,0.010861992152515808,0.005170636259056045,0.010601632322083292,0.016791901104725893,0.00153471729983235,0.009930667808160031
8,0.01049699830665209,0.004954483737942808,0.01020298289418972,0.012930704223480626,0.0012118088410426092,0.007677160970768597
9,0.010496007439411677,0.004988184106100856,0.010236187828648033,0.014067424736177697,0.0008731147124438909,0.007906827043234872
